"nichoir";"pulenv";"echec_fledg";"pop";"an"
"PIR80";5;1;"EPirio";"2005"
"PIR79";7;0;"EPirio";"2007"
"PIR93";6;0;"EPirio";"2005"
"PIR53";0;5;"EPirio";"2006"
"FEL11";9;0;"DMuro";"2006"
"MUR93";9;0;"DMuro";"2006"
"MUR24";7;2;"DMuro";"2007"
"MUR47";8;0;"DMuro";"2006"
"MUR57";7;3;"DMuro";"2006"
"GRA3";0;6;"EMuro";"2008"
"GRA4";0;6;"EMuro";"2007"
"GRA6";6;1;"EMuro";"2006"
"AVA1";8;0;"DMuro";"2006"
"AVA1";4;0;"DMuro";"2007"
"ARI27";6;0;"EMuro";"2006"
"MUR27";9;0;"DMuro";"2006"
"AVA18";6;0;"DMuro";"2006"
"PIR60";7;0;"EPirio";"2004"
"PIR108";8;0;"EPirio";"2004"
"PIR75";6;0;"EPirio";"2004"
"PIR75";5;1;"EPirio";"2005"
"PIR203";5;0;"EPirio";"2006"
"PIR112";8;0;"EPirio";"2007"
"PIR88";8;0;"EPirio";"2005"
"PIR89";4;0;"EPirio";"2006"
"PIR89";8;0;"EPirio";"2007"
"PIR89";6;1;"EPirio";"2008"
"PIR66";3;3;"EPirio";"2004"
"PIR66";6;0;"EPirio";"2005"
"PIR66";7;0;"EPirio";"2007"
"PIR89";0;8;"EPirio";"2004"
"PIR46";7;0;"EPirio";"2005"
"PIR74";5;3;"EPirio";"2004"
"PIR72";7;0;"EPirio";"2005"
"PIR72";3;1;"EPirio";"2006"
"PIR72";7;0;"EPirio";"2007"
"PIR73";3;2;"EPirio";"2008"
"PIR241";1;0;"EPirio";"2009"
"PIR34";7;0;"EPirio";"2005"
"PIR65";7;0;"EPirio";"2004"
"PIR28";8;0;"EPirio";"2005"
"PIR34";9;0;"EPirio";"2006"
"PIR34";8;0;"EPirio";"2007"
"PIR68";5;0;"EPirio";"2004"
"AVA2";6;0;"DMuro";"2007"
"ARI13";10;0;"EMuro";"2006"
"GRA11";8;0;"EMuro";"2006"
"FIL4";9;0;"EMuro";"2006"
"MUR48";7;0;"DMuro";"2005"
"MUR48";8;0;"DMuro";"2006"
"MUR57";10;0;"DMuro";"2007"
"MUR56";7;0;"DMuro";"2008"
"MUR73";10;1;"DMuro";"2007"
"MUR29";6;0;"DMuro";"2005"
"MUR56";7;0;"DMuro";"2009"
"MUR23";7;0;"DMuro";"2005"
"MUR54";8;1;"DMuro";"2005"
"FIL1";6;0;"EMuro";"2006"
"FIL5";5;0;"EMuro";"2007"
"FIL5";6;0;"EMuro";"2008"
"FIL1";6;0;"EMuro";"2010"
"FIL4";5;1;"EMuro";"2011"
"ARI23";0;8;"EMuro";"2005"
"PIR48";6;0;"EPirio";"2006"
"PIR48";8;0;"EPirio";"2007"
"PIR64";7;0;"EPirio";"2007"
"PIR113";8;0;"EPirio";"2005"
"PIR112";6;1;"EPirio";"2006"
"PIR1";5;0;"EPirio";"2007"
"AVA0";9;0;"DMuro";"2005"
"AVA0";9;0;"DMuro";"2006"
"AVA11";9;0;"DMuro";"2007"
"GRA13";5;0;"EMuro";"2005"
"GRA13";3;1;"EMuro";"2007"
"GRA18";4;1;"EMuro";"2008"
"AVA4";7;0;"DMuro";"2006"
"AVA21";8;0;"DMuro";"2007"
"MUR21";7;0;"DMuro";"2006"
"AVA2";7;0;"DMuro";"2006"
"AVA14";7;0;"DMuro";"2006"
"FIL15";0;5;"EMuro";"2006"
"GRA8";0;7;"EMuro";"2007"
"AVA10";6;0;"DMuro";"2006"
"AVA8";7;0;"DMuro";"2007"
"AVA11";6;0;"DMuro";"2006"
"AVA11";6;0;"DMuro";"2008"
"ARI6";5;1;"EMuro";"2006"
"FIL14";2;4;"EMuro";"2006"
"FIL19";5;0;"EMuro";"2007"
"ARI8";0;7;"EMuro";"2007"
"ARI4";7;0;"EMuro";"2006"
"PIR116";6;0;"EPirio";"2007"
"PIR155";5;0;"EPirio";"2007"
"PIR157";5;1;"EPirio";"2008"
"PIR157";3;1;"EPirio";"2009"
"PIR153";7;0;"EPirio";"2010"
"PIR154";0;7;"EPirio";"2011"
"PIR3";5;0;"EPirio";"2007"
"PIR2";1;2;"EPirio";"2008"
"PIR132";4;0;"EPirio";"2009"
"PIR12";5;0;"EPirio";"2010"
"PIR12";4;1;"EPirio";"2011"
"PIR9";5;0;"EPirio";"2012"
"PIR17";6;0;"EPirio";"2013"
"PIR51";6;0;"EPirio";"2007"
"PIR53";0;4;"EPirio";"2008"
"PIR29";0;5;"EPirio";"2007"
"PIR63";8;0;"EPirio";"2007"
"PIR69";4;0;"EPirio";"2008"
"PIR248";6;0;"EPirio";"2009"
"PIR1";8;0;"EPirio";"2006"
"PIR75";7;0;"EPirio";"2007"
"PIR158";7;0;"EPirio";"2006"
"PIR157";6;1;"EPirio";"2007"
"PIR134";7;0;"EPirio";"2006"
"PIR86";7;0;"EPirio";"2006"
"PIR81";6;0;"EPirio";"2007"
"PIR25";5;0;"EPirio";"2006"
"PIR19";8;0;"EPirio";"2007"
"PIR24";2;0;"EPirio";"2008"
"PIR62";6;0;"EPirio";"2007"
"PIR62";4;2;"EPirio";"2008"
"PIR62";5;0;"EPirio";"2009"
"PIR62";6;0;"EPirio";"2010"
"PIR159";1;6;"EPirio";"2008"
"PIR16";5;0;"EPirio";"2007"
"PIR93";5;0;"EPirio";"2006"
"PIR93";7;1;"EPirio";"2007"
"PIR94";4;2;"EPirio";"2008"
"PIR79";6;0;"EPirio";"2009"
"PIR105";5;0;"EPirio";"2006"
"PIR107";7;0;"EPirio";"2007"
"PIR107";5;0;"EPirio";"2008"
"PIR107";4;1;"EPirio";"2009"
"PIR106";4;0;"EPirio";"2011"
"PIR107";4;0;"EPirio";"2013"
"PIR155";3;7;"EPirio";"2006"
"PIR2";7;0;"EPirio";"2007"
"FEL5";5;0;"DMuro";"2007"
"MUR23";9;0;"DMuro";"2007"
"AVA4";6;0;"DMuro";"2007"
"AVA10";9;0;"DMuro";"2007"
"PIR103";5;1;"EPirio";"2011"
"PIR6";0;5;"EPirio";"2008"
"PIR102";3;0;"EPirio";"2008"
"PIR98";7;0;"EPirio";"2009"
"PIR101";5;1;"EPirio";"2010"
"PIR52";5;0;"EPirio";"2008"
"PIR54";8;1;"EPirio";"2009"
"PIR60";7;0;"EPirio";"2010"
"PIR140";0;4;"EPirio";"2010"
"PIR97";6;0;"EPirio";"2008"
"PIR28";0;6;"EPirio";"2008"
"PIR96";7;0;"EPirio";"2008"
"PIR96";7;0;"EPirio";"2009"
"PIR96";6;1;"EPirio";"2010"
"PIR79";3;2;"EPirio";"2008"
"PIR85";3;1;"EPirio";"2008"
"FEL12";9;0;"DMuro";"2010"
"AVA18";9;0;"DMuro";"2009"
"MUR95";8;0;"DMuro";"2008"
"MUR45";9;0;"DMuro";"2007"
"PIR240";0;7;"EPirio";"2009"
"PIR97";6;0;"EPirio";"2006"
"PIR26";6;1;"EPirio";"2006"
"PIR124";6;0;"EPirio";"2007"
